REGION;UNIDAD TERRITORIAL;Rob_vio_o_int;Rob_sor;Rob_fuerza;Rob_vehi;Rob_acc_vehi;Robo_lug_habi;Robo_lug_no_habi;Otros_rob_fuerza;Hurtos;Lesiones;Lesiones_leves;Lesiones_graves;Homicidio;Violacion
Arica;Alto Hospicio;272,5327719;165,5572913;1194,559533;363,3770291;242,8173606;431,2979692;141,7849623;15,28221151;391,3944169;452,5232629;359,9809821;92,54228079;0;15,28221151
Arica;Cami§a;0;0;353,3568905;0;0;117,7856302;117,7856302;117,7856302;117,7856302;824,4994111;706,7137809;117,7856302;0;0
Arica;Colchane;0;63,21112516;948,1668774;252,8445006;63,21112516;442,4778761;63,21112516;126,4222503;63,21112516;379,2667509;316,0556258;63,21112516;0;0
Arica;Huara;53,9083558;0;673,8544474;80,86253369;26,9541779;215,6334232;323,4501348;26,9541779;673,8544474;269,541779;242,5876011;26,9541779;0;26,9541779
Arica;Iquique;527,3737221;611,126721;1747,465796;436,5962781;687,8552748;309,615925;249,6379709;63,76034755;992,6081224;439,2979878;355,0046469;84,29334083;3,24205157;12,96820628
Arica;Pica;0;7,096224808;85,1546977;10,64433721;14,19244962;17,74056202;42,57734885;0;60,31791087;49,67357366;31,93301164;17,74056202;0;7,096224808
Arica;Pozo Almonte;68,91120299;44,30005907;846,6233511;127,9779484;49,22228785;379,0116165;255,9558968;34,4556015;575,9007679;172,2780075;147,6668636;24,61114393;0;4,922228785
Antofagasta;Antofagasta;246,1272254;138,477641;866,4175561;226,2381567;228,4756769;231,2104239;172,2890578;8,204240847;572,8051791;340,8489152;280,6844823;60,16443288;2,48613359;11,18760115
Antofagasta;Calama;378,3548915;276,0787459;1954,610782;450,5498178;534,1087603;598,2820281;348,2736722;23,39650389;731,3078646;628,3632474;506,7014272;121,6618202;4,679300779;16,04331696
Antofagasta;Mar°a Elena;78,89546351;78,89546351;1380,670611;157,790927;0;78,89546351;986,1932939;157,790927;1025,641026;631,1637081;433,9250493;197,2386588;0;39,44773176
Antofagasta;Mejillones;259,3823458;97,26837967;1183,431953;178,3253627;170,2196644;405,2849153;421,4963119;8,105698306;859,2040204;672,7729594;575,5045797;97,26837967;8,105698306;32,42279322
Antofagasta;OllagÅe;0;0;2183,406114;0;436,6812227;873,3624454;873,3624454;0;436,6812227;873,3624454;873,3624454;0;0;0
Antofagasta;San Pedro de Atacama;16,94053871;16,94053871;770,7945113;50,82161613;254,1080806;228,6972726;194,8161952;42,35134677;770,7945113;330,3405048;313,3999661;16,94053871;0;0
Antofagasta;Sierra Gorda;67,55235307;45,03490205;2049,088043;225,1745102;405,3141184;382,7966674;923,215492;112,5872551;1013,285296;225,1745102;225,1745102;0;0;0
Antofagasta;Taltal;177,8129013;29,63548355;1481,774178;29,63548355;296,3548355;612,4666601;523,5602094;19,75698903;770,5225724;533,4387039;454,4107478;79,02795614;0;0
Antofagasta;Tocopilla;237,4217014;202,0610224;1939,785815;116,1850879;191,9579713;843,6047686;596,0800162;191,9579713;1055,768842;752,6773085;631,4406951;121,2366135;0;50,51525561
Atacama;Alto del Carmen;0;0;231,2381753;0;0;84,08660921;147,1515661;0;147,1515661;105,1082615;63,06495691;42,0433046;0;0
Atacama;Caldera;281,5099168;102,3672425;1740,243122;134,3570058;140,7549584;652,5911708;735,7645553;76,77543186;978,8867562;793,3461292;639,7952655;153,5508637;0;19,19385797
Atacama;Cha§aral;116,356383;0;1620,678191;33,24468085;116,356383;764,6276596;664,893617;41,55585106;972,4069149;506,981383;374,0026596;132,9787234;0;8,311170213
Atacama;Copiap¢;299,6683446;153,2012323;1345,140491;162,7412358;337,2671818;392,8236727;401,2413228;51,06707745;601,0202192;387,2119059;314,8201148;72,39179111;1,122353351;15,15177023
Atacama;Diego de Almagro;10,83893345;10,83893345;953,8261435;32,51680035;0;606,9802731;270,9733362;43,3557338;509,4298721;444,3962714;357,6848038;86,71146759;0;10,83893345
Atacama;Freirina;0;51,00306018;544,032642;17,00102006;51,00306018;170,0102006;289,017341;17,00102006;204,0122407;119,0071404;68,00408024;51,00306018;0;17,00102006
Atacama;Huasco;190,0658895;50,6842372;785,6056766;50,6842372;50,6842372;456,1581348;215,4080081;12,6710593;430,8160162;392,8028383;342,1186011;50,6842372;0;12,6710593
Atacama;Tierra Amarilla;99,80751408;57,03286519;1511,370927;42,77464889;78,42018963;484,7793541;891,1385186;14,2582163;434,8755971;570,3286519;442,0047052;128,3239467;7,129108149;7,129108149
Atacama;Vallenar;89,06503975;66,79877981;703,613814;22,26625994;189,2632095;211,5294694;260,5152413;20,03963394;614,5487742;333,993899;238,2489813;95,74491773;0;4,453251987
